model,param,fold,test_recall,test_precision,test_pr_auc,test_roc_auc,test_pr_auc_adj,train_recall,train_precision,train_pr_auc,train_roc_auc,train_pr_auc_adj,time,n_estimators
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 2, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",2,0.48717948717948717,0.9047619047619048,0.7336121062965392,0.9756206167204721,0.6916832454173081,0.5274725274725275,0.8807339449541285,0.8371983350838195,0.9904856029053031,0.8369736082314341,0.6898231269988173,170
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 2, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",3,0.4117647058823529,0.7777777777777778,0.7038703140810003,0.981026031102096,0.6889429516210925,0.5610859728506787,0.8920863309352518,0.8423057152423233,0.989987740089906,0.8422868214855448,0.7938610629989853,217
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 2, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",4,0.3684210526315789,0.7,0.5853826713589655,0.9635305749923943,0.5481712395414755,0.6078431372549019,0.8757062146892656,0.8541573011071983,0.9912967834718861,0.8541007772819191,1.0035778130004473,281
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 2, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",5,0.41935483870967744,0.8666666666666667,0.7214523023189979,0.9762794775947206,0.7275834921245133,0.5187713310580204,0.8491620111731844,0.8079281346329849,0.9876139965424806,0.8078937830127195,0.8943837740007439,226
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",1,0.782608695652174,0.5806451612903226,0.8472970201610083,0.9899145194022507,0.8728710072800135,1.0,0.9520958083832335,1.0,1.0,1.0,2.745697962000122,802
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",2,0.7692307692307693,0.47619047619047616,0.6879761230916531,0.9717614753794204,0.6380717945939491,1.0,0.6476868327402135,0.9978739197539087,0.9999071829906948,0.997873713028765,2.324964932000512,454
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",3,0.8235294117647058,0.5185185185185185,0.7492115741266802,0.9839841108857336,0.7371243297037073,1.0,0.6577380952380952,0.9955168235453571,0.9998123105769924,0.9955082792895904,3.1579435559997364,501
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",4,0.7368421052631579,0.5384615384615384,0.6336665607565375,0.968892607240645,0.597396497525368,1.0,0.6606217616580311,0.9930987745106132,0.99969974394051,0.9930964153045145,2.4139544629997545,582
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': np.float64(21.440273037542664), 'seed': 4}",5,0.9032258064516129,0.4827586206896552,0.7672378025643667,0.9875398034057871,0.7671889362879583,1.0,0.6584269662921348,0.9930551761006463,0.9997017319107738,0.9930483086321171,2.652072603999841,618
XGBoost,"{'colsample_bylevel': 1, 'colsample_bytree': 1, 'early_stopping_rounds': 5, 'eta': 0.025, 'gamma': 0, 'lambda': 0.5, 'max_depth': 3, 'n_estimators': 2000, 'nthread': 1, 'scale_pos_weight': None, 'seed': 4}",1,0.6086956521739131,0.9333333333333333,0.8337565605491686,0.988254104913597,0.8606220401802555,0.8176100628930818,0.9774436090225563,0.9716821225126688,0.9984438639667257,0.97168117684028,0.9795698179987085,240
