params_C,params_degree,params_gamma,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
50.0,2,1,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.5934,0.236
50.0,2,10,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.6014,0.2256
25.0,2,1,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.8073,0.1714
100.0,2,10,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.6134,0.2318
10.0,2,10,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.6071,0.2221
25.0,2,10,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.6028,0.2307
1.0,2,1,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.8421,0.1793
0.05,2,1,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.5941,0.2397
0.05,2,10,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.6061,0.2389
0.1,2,1,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.5939,0.2372
0.1,2,10,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.6039,0.2371
10.0,2,1,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.8867,0.3284
100.0,2,1,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.6037,0.2415
1.0,2,10,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0143,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.5998,0.2328
100.0,2,0.1,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0142,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.767,0.1064
25.0,2,0.1,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0142,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.7083,0.418
10.0,2,0.1,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0142,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.5907,0.2221
50.0,2,0.1,1.0,0.0,0.5862,0.0783,0.5716,0.1011,1.0,0.0,0.9353,0.0142,1.0,0.0,0.5453,0.067,1.0,0.0,0.573,0.0548,0.9118,0.5701
10.0,4,0.01,0.9985,0.0017,0.574,0.107,0.5408,0.1321,0.9999,0.0,0.8893,0.0259,0.9652,0.0069,0.5122,0.1091,0.9951,0.0012,0.6863,0.1275,0.5137,0.1581
1.0,4,auto,0.9997,0.0001,0.5732,0.1033,0.5436,0.1291,1.0,0.0,0.8867,0.0241,0.9775,0.0044,0.5211,0.1254,0.9952,0.0012,0.6912,0.135,0.5231,0.1559
25.0,4,0.01,1.0,0.0,0.5645,0.0984,0.5375,0.1259,1.0,0.0,0.8773,0.0208,0.9946,0.0012,0.5187,0.1104,1.0,0.0,0.6884,0.1373,0.5214,0.1646
50.0,4,0.01,1.0,0.0,0.556,0.0986,0.5323,0.1222,1.0,0.0,0.8726,0.0227,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6643,0.121,0.5276,0.1577
1.0,4,1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5008,0.1389
50.0,4,0.1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5283,0.1499
50.0,4,1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.838,0.382
25.0,4,0.1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.4989,0.1297
50.0,4,auto,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5183,0.1534
100.0,4,auto,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5706,0.2466
100.0,4,0.01,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5306,0.1482
0.1,4,0.1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5032,0.1373
0.1,4,1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5085,0.1523
0.05,4,0.1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.5078,0.1326
0.05,4,1,1.0,0.0,0.5522,0.1012,0.5285,0.1245,1.0,0.0,0.8713,0.0216,1.0,0.0,0.5175,0.1042,1.0,0.0,0.6677,0.1158,0.8021,0.4306
