params_eta,params_gamma,params_lambda,params_max_depth,params_scale_pos_weight,param_n_estimators_mean,param_n_estimators_std,tr_pr_auc_mean,tr_pr_auc_std,te_pr_auc_mean,te_pr_auc_std,adj_pr_auc_mean,adj_pr_auc_std,tr_roc_auc_mean,tr_roc_auc_std,te_roc_auc_mean,te_roc_auc_std,tr_recall_mean,tr_recall_std,te_recall_mean,te_recall_std,tr_precision_mean,tr_precision_std,te_precision_mean,te_precision_std,time_mean,time_std
0.025,0.5,0.1,5,False,141.2,25.68462575160479,0.9945,0.004,0.7391,0.0737,0.7295,0.0935,0.9997,0.0002,0.9791,0.0073,0.9171,0.0475,0.4664,0.126,0.987,0.0098,0.7839,0.0752,1.1437,0.1675
0.125,1.0,0.1,3,True,118.6,36.01110939696249,0.9973,0.0043,0.7391,0.0787,0.7265,0.1045,0.9999,0.0002,0.9806,0.0085,1.0,0.0,0.8163,0.0529,0.7307,0.0969,0.5364,0.0281,0.8278,0.223
0.025,0.1,0.1,5,False,142.6,30.549959083442324,0.9943,0.0042,0.7391,0.0771,0.7297,0.0967,0.9997,0.0002,0.9793,0.0075,0.9197,0.049,0.46,0.1236,0.9869,0.0098,0.7685,0.108,1.4737,0.2749
0.05,0.0,0.75,5,True,202.6,45.86174876735513,1.0,0.0,0.7391,0.0656,0.729,0.0881,1.0,0.0,0.98,0.0071,1.0,0.0,0.7307,0.1015,0.9056,0.0721,0.5602,0.0527,2.0169,0.7485
0.125,0.0,0.1,5,False,31.2,5.974947698515862,0.9948,0.0034,0.7391,0.073,0.7307,0.0893,0.9997,0.0002,0.9803,0.0072,0.9191,0.039,0.4979,0.0978,0.9903,0.0094,0.7695,0.0703,0.6005,0.1053
0.05,0.0,0.75,3,False,110.6,31.60379724020517,0.9347,0.0359,0.7391,0.0804,0.7281,0.1005,0.9964,0.0021,0.9802,0.0081,0.7444,0.0823,0.5046,0.1076,0.9361,0.0296,0.7747,0.0831,0.8247,0.4276
0.025,0.0,0.75,3,False,212.8,58.746914812609525,0.9311,0.0323,0.739,0.0769,0.7295,0.0973,0.9962,0.0019,0.9797,0.0081,0.7257,0.0754,0.4971,0.1082,0.9268,0.0319,0.7783,0.1279,1.3336,0.6659
0.125,0.5,0.75,4,False,42.4,11.781341180018513,0.9735,0.0236,0.739,0.0572,0.7299,0.0821,0.9986,0.0013,0.9799,0.0072,0.8664,0.0738,0.5249,0.0667,0.9576,0.0335,0.7853,0.0948,0.7577,0.2573
0.075,0.1,0.1,2,True,300.0,55.09083408335728,0.9762,0.0155,0.739,0.0748,0.7252,0.1017,0.999,0.0006,0.9802,0.0082,1.0,0.0,0.8486,0.0574,0.6025,0.0459,0.4903,0.0258,0.9971,0.1988
0.075,0.1,0.75,3,False,70.6,17.21336689901194,0.9305,0.0445,0.739,0.0592,0.7299,0.0831,0.9961,0.0026,0.9795,0.0069,0.7352,0.0833,0.4785,0.0517,0.9294,0.0479,0.7865,0.0632,0.5378,0.0383
0.125,0.1,0.75,2,True,234.6,82.64260402480068,0.989,0.0089,0.7388,0.0737,0.7266,0.1031,0.9996,0.0003,0.9807,0.0079,1.0,0.0,0.8521,0.053,0.6637,0.0513,0.5321,0.0405,1.0412,0.213
